Food group,Food source,Measurement,Food group:Food source,Survey years:Variable,Value,Table,Demographics,ozEquivalent,foodType
"Dairy, fluid milk",FAFH: School,Cups,"Dairy, fluid milk:FAFH: School",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.32,Animal
"Dairy, fluid milk",FAFH: Others,Cups,"Dairy, fluid milk:FAFH: Others",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.16,Animal
"Dairy, cheese ",Total,Cups,"Dairy, cheese:Total",2017-2018-Mean,0.74,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,5.92,Animal
"Dairy, cheese ",FAH,Cups,"Dairy, cheese:FAH",2017-2018-Mean,0.43,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,3.44,Animal
"Dairy, cheese ",FAFH,Cups,"Dairy, cheese:FAFH",2017-2018-Mean,0.32,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.56,Animal
"Dairy, cheese ",FAFH: Restaurant,Cups,"Dairy, cheese:FAFH: Restaurant",2017-2018-Mean,0.07,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.56,Animal
"Dairy, cheese ",FAFH: Fast food,Cups,"Dairy, cheese:FAFH: Fast food",2017-2018-Mean,0.19,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.52,Animal
"Dairy, cheese ",FAFH: School,Cups,"Dairy, cheese:FAFH: School",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Animal
"Dairy, cheese ",FAFH: Others,Cups,"Dairy, cheese:FAFH: Others",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.32,Animal
"Dairy, yogurt",Total,Cups,"Dairy, yogurt:Total",2017-2018-Mean,0.06,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.48,Animal
"Dairy, yogurt",FAH,Cups,"Dairy, yogurt:FAH",2017-2018-Mean,0.05,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.4,Animal
"Dairy, yogurt",FAFH,Cups,"Dairy, yogurt:FAFH",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Animal
"Dairy, yogurt",FAFH: Restaurant,Cups,"Dairy, yogurt:FAFH: Restaurant",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Dairy, yogurt",FAFH: Fast food,Cups,"Dairy, yogurt:FAFH: Fast food",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Dairy, yogurt",FAFH: School,Cups,"Dairy, yogurt:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Dairy, yogurt",FAFH: Others,Cups,"Dairy, yogurt:FAFH: Others",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Animal
"Fruit, total ",Total,Cups,"Fruit, total:Total",2017-2018-Mean,0.93,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,7.44,Plant
"Fruit, total ",FAH,Cups,"Fruit, total:FAH",2017-2018-Mean,0.8,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,6.4,Plant
"Fruit, total ",FAFH,Cups,"Fruit, total:FAFH",2017-2018-Mean,0.13,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.04,Plant
"Fruit, total ",FAFH: Restaurant,Cups,"Fruit, total:FAFH: Restaurant",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
